Season,Agency,Date,Time,Station,Field Rep,Depth [m],Time [s],Descent rate [m/s],Temperature [°C],Conductivity [S/m],Salinity [psu],Density (å-theta),pH,Oxygen [mg/L],SBE DO sat [mg/L],SBE DO sat [%],Transmissivity [%],SBE Beam C [1/m],Chl-a [ug/L],Voltage-Chl-a [V],CDOM [ug/L],Voltage-CDOM [V],Ammonia-N [mg/L],Total Colif. [MPN/100mL],E. coli [MPN/100mL],Enterococci [MPN/100mL]
Spring,Hyperion,5/10/2018,11:02:00,3305,1,2,105.1,1.08,15.79,4.217,33.628,24.739,8.4,10.27,8.07,127.11,71.64,1.334,0.75,0.2306,0.1,0.1067,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,3,106,1.02,15.59,4.197,33.629,24.786,8.4,10.31,8.1,127.17,71.73,1.329,1,0.2794,0.09,0.1066,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,4,107.7,0.44,15.44,4.183,33.625,24.814,8.4,10.3,8.12,126.68,71.83,1.323,1.29,0.3374,0.1,0.107,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,5,109.7,0.73,15.29,4.168,33.621,24.846,8.39,10.54,8.15,129.16,71.79,1.326,1.74,0.4283,0.1,0.107,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,6,110.8,1.13,14.92,4.131,33.61,24.918,8.39,10.92,8.21,132.91,71.65,1.333,2.57,0.594,0.1,0.1069,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,7,111.9,0.78,14.48,4.088,33.592,24.998,8.4,11.02,8.29,132.89,71.27,1.355,3.43,0.7654,0.11,0.1075,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,8,113.6,0.48,13.86,4.027,33.573,25.114,8.42,10.27,8.39,122.35,70.64,1.39,3.48,0.7768,0.12,0.1085,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,9,115.3,0.87,13.08,3.956,33.589,25.285,8.4,9.68,8.53,113.49,71.52,1.341,6.2,1.3197,0.17,0.1121,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,10,116.8,0.58,12.77,3.928,33.592,25.347,8.36,9.22,8.58,107.41,71.39,1.348,10.57,2.1942,0.17,0.1122,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,11,118.3,0.82,12.63,3.914,33.592,25.375,8.35,8.43,8.61,97.93,69.83,1.437,13.71,2.823,0.19,0.1133,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,12,119.3,0.99,12.51,3.904,33.601,25.406,8.32,8.06,8.63,93.32,68.3,1.526,15.51,3.1817,0.2,0.1138,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,13,121.1,0.45,12.43,3.897,33.601,25.421,8.28,7.77,8.64,89.82,67.07,1.598,12.37,2.5547,0.19,0.1134,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,14,122.9,0.83,12.38,3.892,33.601,25.43,8.27,7.45,8.65,86.05,70.01,1.427,8.62,1.8047,0.18,0.1125,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,15,124.1,0.81,12.33,3.888,33.606,25.445,8.25,7.35,8.66,84.77,72.34,1.295,6.9,1.4592,0.18,0.1124,0.01,5,5,5
Spring,Hyperion,5/10/2018,11:02:00,3305,1,16,125.5,0.65,12.29,3.885,33.609,25.454,8.24,7.29,8.67,84.05,74.67,1.169,5.82,1.2449,0.17,0.1121,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,17,127.1,0.61,12.26,3.882,33.612,25.462,8.24,7.14,8.68,82.25,76.36,1.079,5.15,1.1092,0.17,0.1118,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,18,128.8,0.6,12.22,3.878,33.614,25.472,8.23,6.65,8.68,76.54,78.79,0.954,4.46,0.9713,0.18,0.1123,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,19,130.10001,0.98,12.13,3.87,33.613,25.488,8.22,6.13,8.7,70.42,79.08,0.939,3.69,0.8171,0.18,0.1125,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,20,131.2,0.91,11.91,3.85,33.61,25.527,8.2,5.92,8.74,67.7,79.74,0.906,2.49,0.5772,0.18,0.1126,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,21,132.8,0.49,11.72,3.833,33.613,25.565,8.17,5.73,8.78,65.27,81.51,0.818,2.17,0.5133,0.19,0.1133,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,22,134.60001,0.81,11.61,3.823,33.62,25.591,8.16,5.52,8.8,62.8,83.42,0.725,1.81,0.4419,0.21,0.1151,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,23,136.10001,0.53,11.45,3.809,33.622,25.621,8.15,5.39,8.83,61.1,84.56,0.671,1.51,0.3828,0.22,0.1154,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,24,137.8,0.7,11.37,3.801,33.621,25.635,8.15,5.17,8.84,58.53,85.33,0.635,1.06,0.2925,0.22,0.1153,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,25,139,1.03,11.25,3.79,33.616,25.652,8.14,5.06,8.86,57.08,85.84,0.611,1.05,0.2891,0.31,0.1215,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,26,140.2,0.71,11.16,3.78,33.605,25.661,8.12,5.01,8.88,56.43,86.28,0.59,1.08,0.2955,0.38,0.1265,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,27,141.89999,0.52,11.13,3.777,33.604,25.667,8.12,4.92,8.89,55.35,86.43,0.583,0.89,0.2587,0.45,0.1314,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,28,143.5,0.93,11.09,3.774,33.61,25.678,8.12,4.8,8.9,54,86.68,0.572,1.05,0.2899,0.5,0.1354,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,29,144.60001,0.75,11.01,3.767,33.61,25.692,8.11,4.75,8.91,53.28,86.74,0.569,0.72,0.2247,0.47,0.1331,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,30,146.3,0.54,10.95,3.762,33.613,25.705,8.1,4.69,8.92,52.54,86.8,0.566,0.78,0.2354,0.52,0.1365,0.04,700,160,20
Spring,Hyperion,5/10/2018,11:02:00,3305,1,31,147.89999,0.75,10.91,3.758,33.614,25.713,8.1,4.65,8.93,52.07,86.82,0.566,0.67,0.2134,0.54,0.1382,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,32,149.60001,0.5,10.9,3.757,33.619,25.719,8.1,4.62,8.93,51.75,87.16,0.55,0.87,0.2533,0.56,0.1394,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,33,151.3,0.83,10.9,3.758,33.623,25.722,8.1,4.6,8.93,51.5,86.99,0.558,0.67,0.2149,0.6,0.142,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,34,152.3,1.23,10.9,3.758,33.625,25.724,8.1,4.58,8.93,51.34,86.95,0.559,0.71,0.223,0.54,0.138,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,35,153.10001,1.11,10.89,3.758,33.628,25.727,8.1,4.57,8.93,51.22,86.95,0.559,0.71,0.222,0.53,0.1376,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,36,155.2,0.35,10.89,3.759,33.632,25.73,8.1,4.54,8.93,50.88,86.45,0.582,0.71,0.2217,0.53,0.1374,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,37,157.3,1,10.89,3.76,33.639,25.736,8.1,4.49,8.93,50.26,86.53,0.579,0.67,0.214,0.53,0.1373,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,38,158.39999,0.81,10.9,3.761,33.651,25.744,8.1,4.44,8.93,49.77,86.45,0.582,0.64,0.2074,0.52,0.1367,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,39,159.60001,0.87,10.91,3.763,33.657,25.747,8.09,4.38,8.93,49.07,86.32,0.589,0.68,0.2157,0.5,0.1351,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,40,160.8,0.88,10.91,3.765,33.674,25.759,8.09,4.33,8.93,48.47,86.4,0.585,0.59,0.1988,0.48,0.1335,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,41,162.89999,0.35,10.89,3.764,33.683,25.771,8.09,4.19,8.93,46.95,86.08,0.6,0.57,0.1931,0.47,0.1334,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,42,164.89999,1.03,10.73,3.75,33.694,25.807,8.08,4,8.96,44.62,86.3,0.589,0.51,0.1826,0.48,0.1335,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,43,166,0.83,10.63,3.742,33.709,25.837,8.07,3.96,8.98,44.12,86.47,0.582,0.39,0.1583,0.47,0.1332,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,44,167.5,0.61,10.6,3.741,33.713,25.844,8.07,3.92,8.98,43.68,86.5,0.58,0.34,0.1471,0.48,0.1339,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,45,168.8,0.96,10.6,3.74,33.713,25.846,8.06,3.86,8.99,42.95,86.38,0.586,0.35,0.15,0.48,0.1337,0.01,31,5,5
Spring,Hyperion,5/10/2018,11:02:00,3305,1,46,170.39999,0.52,10.53,3.735,33.722,25.864,8.06,3.77,9,41.93,86.7,0.571,0.33,0.146,0.53,0.1374,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,47,172.2,0.6,10.44,3.727,33.732,25.888,8.06,3.67,9.02,40.73,86.35,0.587,0.25,0.1295,0.48,0.1335,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,48,173.7,0.78,10.38,3.722,33.736,25.901,8.05,3.6,9.03,39.88,86.43,0.583,0.26,0.1317,0.5,0.1353,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,49,174.89999,0.81,10.31,3.717,33.745,25.92,8.05,3.56,9.04,39.39,86.8,0.566,0.27,0.1344,0.52,0.1364,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,50,176.8,0.42,10.24,3.712,33.754,25.939,8.05,3.52,9.05,38.89,86.61,0.575,0.21,0.1219,0.51,0.1362,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,51,178.8,0.64,10.22,3.71,33.761,25.949,8.05,3.44,9.06,38.04,86.55,0.578,0.19,0.1188,0.52,0.1364,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,52,180.10001,1.03,10.16,3.707,33.776,25.97,8.04,3.45,9.07,38.07,86.67,0.572,0.19,0.1182,0.5,0.1355,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,53,181.10001,0.92,10.1,3.701,33.78,25.984,8.04,3.48,9.08,38.32,86.64,0.574,0.18,0.1167,0.48,0.1341,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,54,182.39999,0.68,10.05,3.698,33.789,25.998,8.05,3.49,9.09,38.46,86.7,0.571,0.15,0.11,0.48,0.1336,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,55,184.3,0.45,10.03,3.696,33.799,26.011,8.06,3.49,9.09,38.44,86.74,0.569,0.13,0.1066,0.44,0.1308,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,56,187.89999,0.49,10.01,3.695,33.804,26.017,8.06,3.49,9.1,38.38,87.42,0.538,0.12,0.1041,0.42,0.1296,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,57,188.8,0.25,10.01,3.695,33.806,26.02,8.06,3.48,9.1,38.23,87.74,0.523,0.12,0.1043,0.42,0.1292,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,58,192.10001,0.79,9.94,3.691,33.822,26.042,8.06,3.37,9.11,37.04,87.8,0.521,0.12,0.103,0.39,0.1272,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,11:02:00,3305,1,59,193.39999,0.37,9.9,3.688,33.832,26.058,8.06,3.37,9.12,36.98,87.88,0.517,0.12,0.1042,0.39,0.1278,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,1,121.5,0.45,15.91,4.229,33.639,24.721,8.37,9.26,8.05,114.98,80.63,0.861,0.57,0.1943,0.1,0.1067,0.01,5,5,5
Spring,Hyperion,5/10/2018,10:35:00,3306,1,2,122.5,1.07,15.89,4.227,33.638,24.724,8.37,9.36,8.05,116.14,80.64,0.861,0.61,0.2017,0.09,0.1063,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,3,123.4,1.14,15.85,4.223,33.637,24.733,8.37,9.38,8.06,116.3,80.64,0.861,0.63,0.2052,0.09,0.1062,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,4,125.3,0.38,15.66,4.205,33.637,24.777,8.37,9.4,8.09,116.11,80.5,0.868,0.71,0.2215,0.09,0.1065,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,5,127.3,0.88,15.59,4.197,33.632,24.788,8.37,9.41,8.1,116.1,80.62,0.862,0.8,0.2399,0.09,0.1067,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,6,128.3,0.98,15.28,4.167,33.624,24.85,8.36,9.4,8.15,115.24,81.15,0.835,0.83,0.2451,0.09,0.1064,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,7,129.60001,0.69,14.76,4.118,33.624,24.964,8.36,9.47,8.24,114.82,81.72,0.808,0.92,0.2649,0.11,0.1076,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,8,131.5,0.45,14.6,4.103,33.625,24.999,8.35,9.42,8.26,113.92,82.33,0.778,1,0.2804,0.1,0.107,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,9,133.2,1.1,14.49,4.092,33.624,25.022,8.35,9.36,8.28,112.89,82.2,0.784,1.5,0.3806,0.1,0.1068,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,10,134,1.13,14.34,4.078,33.624,25.053,8.35,9.34,8.31,112.38,81.1,0.838,1.88,0.4555,0.12,0.1085,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,11,135.60001,0.46,14.23,4.068,33.624,25.075,8.34,9.34,8.33,112.15,80.32,0.877,1.87,0.4547,0.12,0.1083,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,12,137.5,0.78,13.94,4.04,33.621,25.134,8.35,9.34,8.38,111.4,80.2,0.883,2.37,0.5549,0.14,0.1097,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,13,138.8,0.83,13.74,4.022,33.625,25.177,8.35,9.01,8.41,107.11,80.03,0.891,3.84,0.848,0.14,0.1101,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,14,140,0.74,13.52,4.001,33.62,25.22,8.35,8.47,8.45,100.24,78.97,0.944,5.51,1.182,0.16,0.111,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,15,141.5,0.6,12.87,3.94,33.616,25.347,8.32,8.07,8.56,94.17,76.38,1.078,6.54,1.3872,0.16,0.1111,0.01,30,10,5
Spring,Hyperion,5/10/2018,10:35:00,3306,1,16,143.2,0.67,12.7,3.924,33.619,25.383,8.29,7.37,8.6,85.76,74.51,1.177,6.62,1.4042,0.15,0.1102,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,17,144.5,0.97,12.38,3.894,33.615,25.441,8.27,7.04,8.65,81.31,74.47,1.179,4.31,0.9416,0.13,0.1095,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,18,145.5,0.93,12.22,3.879,33.617,25.473,8.24,6.89,8.68,79.36,74.62,1.171,2.5,0.5808,0.12,0.1084,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,19,147.39999,0.4,12.16,3.873,33.613,25.483,8.22,6.67,8.69,76.67,79.55,0.917,2.53,0.586,0.12,0.1083,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,20,149.3,0.86,12.01,3.859,33.611,25.509,8.21,6.63,8.72,75.97,81.77,0.805,2,0.4802,0.12,0.1083,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,21,150.3,1.11,11.98,3.857,33.616,25.518,8.2,6.67,8.73,76.37,83.19,0.736,1.51,0.3825,0.12,0.1087,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,22,151.39999,0.78,12,3.859,33.625,25.522,8.21,6.6,8.72,75.65,84.37,0.68,1.57,0.3944,0.14,0.1096,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,23,153.2,0.5,11.97,3.856,33.624,25.527,8.21,6.14,8.73,70.37,84.69,0.665,1.73,0.4261,0.13,0.1094,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,24,154.7,1.02,11.78,3.838,33.613,25.554,8.2,5.59,8.76,63.75,84.7,0.664,1.82,0.4447,0.15,0.1103,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,25,155.7,0.9,11.47,3.809,33.607,25.607,8.17,5.42,8.82,61.41,84.72,0.663,1.44,0.3688,0.21,0.1149,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,26,157.3,0.53,11.35,3.797,33.6,25.622,8.15,5.08,8.85,57.43,85,0.65,1.49,0.3776,0.27,0.1193,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,27,158.89999,0.79,11.09,3.773,33.598,25.668,8.13,4.86,8.9,54.63,85.55,0.624,1.18,0.3155,0.53,0.1373,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,28,160.3,0.66,11,3.765,33.598,25.684,8.12,4.75,8.91,53.3,85.69,0.618,1.07,0.2942,0.6,0.1425,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,29,162,0.57,10.92,3.758,33.602,25.702,8.11,4.64,8.93,51.93,85.59,0.623,0.91,0.2627,0.61,0.1432,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,30,163.5,0.84,10.87,3.753,33.602,25.711,8.1,4.56,8.94,51.04,85.66,0.619,0.78,0.2357,0.66,0.1463,0.09,990,340,85
Spring,Hyperion,5/10/2018,10:35:00,3306,1,31,164.60001,0.99,10.8,3.747,33.607,25.727,8.1,4.57,8.95,51.04,85.7,0.617,0.76,0.2329,0.75,0.1525,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,32,165.7,0.79,10.78,3.747,33.617,25.738,8.1,4.57,8.95,51.08,85.86,0.61,0.73,0.226,0.62,0.1437,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,33,167.5,0.47,10.78,3.747,33.621,25.741,8.1,4.53,8.95,50.62,85.98,0.604,0.74,0.2288,0.59,0.1416,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,34,169.3,0.75,10.75,3.745,33.625,25.75,8.11,4.43,8.96,49.46,86.23,0.593,0.78,0.2351,0.53,0.1376,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,35,170.5,0.78,10.71,3.741,33.623,25.755,8.1,4.38,8.97,48.8,86.36,0.587,0.61,0.202,0.6,0.1425,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,36,172,0.65,10.69,3.74,33.624,25.759,8.1,4.31,8.97,48.07,86.35,0.587,0.72,0.2235,0.68,0.1476,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,37,173.5,0.75,10.72,3.744,33.639,25.765,8.09,4.2,8.96,46.86,86.05,0.601,0.59,0.1979,0.69,0.1486,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,38,174.60001,0.92,10.78,3.753,33.679,25.787,8.09,4.12,8.95,46.03,85.82,0.612,0.67,0.2136,0.64,0.1449,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,39,176.10001,0.61,10.73,3.75,33.694,25.807,8.08,4.07,8.96,45.41,85.87,0.609,0.66,0.2115,0.55,0.1388,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,40,177.60001,0.76,10.7,3.747,33.701,25.819,8.08,4.01,8.97,44.73,86.06,0.601,0.53,0.1862,0.49,0.1348,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,41,179.10001,0.61,10.63,3.743,33.706,25.834,8.08,3.98,8.98,44.38,85.93,0.606,0.49,0.1787,0.48,0.1338,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,42,180.7,0.64,10.61,3.74,33.708,25.839,8.08,3.96,8.98,44.07,86.15,0.597,0.4,0.1608,0.48,0.1341,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,43,182.5,0.54,10.59,3.738,33.708,25.843,8.08,3.9,8.99,43.39,86.24,0.592,0.43,0.1654,0.53,0.1371,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,44,184,0.96,10.52,3.732,33.708,25.856,8.07,3.87,9,43.04,86.35,0.587,0.37,0.1543,0.53,0.137,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,45,184.8,1.24,10.5,3.73,33.707,25.858,8.07,3.87,9.01,42.97,86.76,0.568,0.33,0.1455,0.55,0.1391,0.06,230,51,10
Spring,Hyperion,5/10/2018,10:35:00,3306,1,46,186.60001,0.41,10.5,3.73,33.709,25.86,8.07,3.85,9.01,42.82,86.75,0.569,0.36,0.1516,0.55,0.139,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,47,188.5,0.87,10.48,3.729,33.71,25.862,8.07,3.81,9.01,42.3,86.44,0.583,0.35,0.1493,0.56,0.1393,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,48,189.5,1.16,10.45,3.726,33.707,25.866,8.07,3.79,9.01,42.03,86.48,0.581,0.35,0.1502,0.58,0.1405,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,49,190.5,0.92,10.41,3.722,33.707,25.873,8.07,3.77,9.02,41.77,86.66,0.573,0.37,0.1548,0.62,0.1439,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,50,192.3,0.44,10.39,3.72,33.71,25.88,8.07,3.73,9.03,41.28,86.73,0.57,0.31,0.142,0.62,0.1436,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,51,194,0.89,10.35,3.719,33.725,25.898,8.07,3.69,9.03,40.81,86.75,0.569,0.27,0.133,0.59,0.1412,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,52,195.8,0.45,10.31,3.716,33.735,25.913,8.07,3.61,9.04,39.94,86.89,0.562,0.25,0.1309,0.56,0.1396,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,53,197.5,1.16,10.21,3.709,33.75,25.941,8.07,3.54,9.06,39.07,86.88,0.563,0.21,0.1212,0.55,0.1387,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,54,198.2,1.29,10.14,3.704,33.769,25.968,8.06,3.52,9.07,38.79,87.31,0.543,0.17,0.1137,0.52,0.1365,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,55,199.5,0.6,10.08,3.7,33.785,25.99,8.07,3.48,9.08,38.3,87.37,0.54,0.15,0.1098,0.47,0.1329,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,56,201.39999,0.52,10.05,3.698,33.796,26.005,8.07,3.44,9.09,37.84,87.52,0.533,0.13,0.1064,0.45,0.1318,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,57,203.10001,0.66,10.04,3.697,33.8,26.01,8.07,3.38,9.09,37.21,87.34,0.542,0.12,0.1048,0.44,0.131,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,58,204.5,0.81,10.01,3.695,33.793,26.008,8.06,3.36,9.1,36.9,87.63,0.528,0.12,0.1037,0.44,0.1312,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,59,206.2,0.5,10,3.695,33.809,26.023,8.06,3.35,9.1,36.83,87.23,0.546,0.11,0.1027,0.44,0.1311,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,60,207.8,1.01,9.98,3.694,33.814,26.031,8.06,3.39,9.1,37.31,87.1,0.552,0.11,0.1029,0.44,0.1309,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,61,208.60001,1.34,9.95,3.692,33.82,26.04,8.06,3.41,9.11,37.43,87.4,0.539,0.14,0.109,0.42,0.1294,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,62,210.7,0.32,9.94,3.69,33.812,26.035,8.07,3.4,9.11,37.31,86.71,0.571,0.11,0.1012,0.39,0.1276,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,63,213,0.97,9.93,3.69,33.824,26.046,8.07,3.38,9.11,37.08,86.44,0.583,0.11,0.1028,0.39,0.1272,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,64,213.8,1.28,9.9,3.688,33.833,26.059,8.07,3.37,9.12,36.94,87.54,0.532,0.1,0.1,0.38,0.1268,NaN,NaN,NaN,NaN
Spring,Hyperion,5/10/2018,10:35:00,3306,1,65,214.60001,1.07,9.88,3.687,33.836,26.064,8.07,3.35,9.12,36.78,87.44,0.537,0.1,0.1002,0.38,0.1266,NaN,NaN,NaN,NaN
