Sort,Season,Agency,Date,Time,Station ID,Field rep,Depth (m),Time (seconds),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (kg/m?),pH (pH units),Dissolved Oxygen (mg/L),Oxygen Saturation (mg/L),Oxygen Saturation (%),Light Transmission (%),Beam C (1/m),Chlorophyll-a (æg/L) WET,Chlorophyll-a Voltage (V) WET,Chlorophyll-a (æg/L) ECO,Chlorophyll-a Voltage (V) ECO,CDOM (ug/L) WET,CDOM Voltage (V) WET,CDOM (ug/L) ECO,CDOM Voltage (V) ECO,CDOM (ug/L) Turner,CDOM Voltage (V) Turner,Surface Irradiance (æE/cmýúsec),Irradiance (æE/cmýúsec),Normalized Irradiance (%),delta-T (øC/m),Stability (kg/m?/m),Qual_NH3,Ammonia-N (mg/L),Qual_TC,Total coliforms (MPN/100mL),Qual_FC,Fecal coliforms (MPN/100mL),Qual_EC,E. coli (MPN/100mL),Qual_ENT,Enterococci (MPN/100mL),Disacrete Chl-a (ug/L)
11091,Winter,OCSD,02/08/2016,08:19,1904,1,101.0,150.2,0.39,11.80,3.839,33.576,25.524,7.83,4.40,8.76,50.16,82.50,0.769,0.07,0.0548,-0.14,0.0076,3.06,0.2889,0.97,0.0244,,,1932.2,0.0,0.0,,,,,,,,,,,,,
11092,Winter,OCSD,02/08/2016,08:02,1905,1,1.0,12.7,0.72,15.17,4.147,33.540,24.810,8.11,7.59,8.17,92.74,79.74,0.906,2.10,0.2090,1.44,0.0692,1.67,0.2234,0.18,0.0154,,,1736.7,513.2,29.6,0.01,0.001,,,,,,,,,,,
11093,Winter,OCSD,02/08/2016,08:02,1905,1,2.0,14.0,0.82,15.16,4.147,33.540,24.811,8.11,7.60,8.17,92.84,81.27,0.830,2.35,0.2312,1.66,0.0789,1.66,0.2223,0.18,0.0158,,,1741.1,489.1,28.1,0.00,-0.001,,,,,,,,,,,
11094,Winter,OCSD,02/08/2016,08:02,1905,1,3.0,15.2,0.81,15.16,4.147,33.540,24.810,8.11,7.60,8.17,92.93,81.15,0.836,2.51,0.2418,1.90,0.0910,1.67,0.2245,0.19,0.0160,,,1750.0,271.8,15.5,0.00,0.000,,,,,,,,,,,
11095,Winter,OCSD,02/08/2016,08:02,1905,1,4.0,16.6,0.70,15.16,4.147,33.539,24.810,8.11,7.62,8.17,93.08,81.36,0.825,2.63,0.2511,1.97,0.0919,1.69,0.2251,0.20,0.0160,,,1740.7,247.7,14.2,0.00,0.001,,,,,,,,,,,
11096,Winter,OCSD,02/08/2016,08:02,1905,1,5.0,18.0,0.77,15.16,4.147,33.539,24.811,8.11,7.60,8.17,92.86,81.88,0.800,2.73,0.2587,1.96,0.0915,1.67,0.2227,0.20,0.0159,,,1744.5,210.3,12.1,0.00,0.000,,,,,,,,,,,
11097,Winter,OCSD,02/08/2016,08:02,1905,1,6.0,19.3,0.77,15.16,4.147,33.539,24.811,8.11,7.59,8.17,92.71,81.93,0.797,2.83,0.2665,1.94,0.0904,1.70,0.2259,0.20,0.0160,,,1747.7,184.0,10.5,0.00,0.000,,,,,,,,,,,
11098,Winter,OCSD,02/08/2016,08:02,1905,1,7.0,20.6,0.72,15.16,4.147,33.539,24.811,8.11,7.59,8.17,92.73,82.12,0.788,2.89,0.2706,1.95,0.0913,1.70,0.2257,0.19,0.0160,,,1735.1,150.9,8.7,0.00,0.000,,,,,,,,,,,
11099,Winter,OCSD,02/08/2016,08:02,1905,1,8.0,21.9,0.85,15.16,4.147,33.539,24.811,8.11,7.62,8.17,93.14,82.18,0.785,2.94,0.2747,1.94,0.0904,1.68,0.2232,0.17,0.0157,,,1735.0,121.8,7.0,0.00,0.000,,,,,,,,,,,
11100,Winter,OCSD,02/08/2016,08:02,1905,1,9.0,23.1,0.87,15.16,4.147,33.539,24.811,8.11,7.62,8.17,93.19,82.16,0.786,2.95,0.2755,1.93,0.0904,1.70,0.2247,0.18,0.0153,,,1741.1,99.3,5.7,0.00,0.000,,,,,,,,,,,
11101,Winter,OCSD,02/08/2016,08:02,1905,1,10.0,24.3,0.81,15.16,4.147,33.539,24.811,8.11,7.61,8.18,93.06,82.11,0.788,2.95,0.2749,1.93,0.0904,1.72,0.2268,0.22,0.0167,,,1732.9,85.9,5.0,0.00,0.000,,,,,,,,,,,
11102,Winter,OCSD,02/08/2016,08:02,1905,1,11.0,25.5,0.82,15.16,4.147,33.539,24.811,8.11,7.64,8.18,93.34,82.12,0.788,2.94,0.2743,1.92,0.0898,1.71,0.2249,0.21,0.0160,,,1741.1,74.6,4.3,0.00,0.000,,,,,,,,,,,
11103,Winter,OCSD,02/08/2016,08:02,1905,1,12.0,26.9,0.63,15.16,4.147,33.539,24.811,8.11,7.62,8.17,93.18,82.10,0.789,2.92,0.2731,1.92,0.0899,1.74,0.2278,0.20,0.0160,,,1733.9,68.5,4.0,0.00,0.000,,,,,,,,,,,
11104,Winter,OCSD,02/08/2016,08:02,1905,1,13.0,28.4,0.80,15.16,4.147,33.539,24.811,8.11,7.61,8.17,93.04,81.91,0.798,2.88,0.2698,1.91,0.0891,1.76,0.2290,0.19,0.0161,,,1732.4,57.0,3.3,0.00,0.000,,,,,,,,,,,
11105,Winter,OCSD,02/08/2016,08:02,1905,1,14.0,29.7,0.77,15.16,4.147,33.539,24.811,8.11,7.62,8.17,93.08,82.08,0.790,2.82,0.2651,1.91,0.0894,1.69,0.2237,0.16,0.0156,,,1736.4,46.9,2.7,0.00,0.000,,,,,,,,,,,
11106,Winter,OCSD,02/08/2016,08:02,1905,1,15.0,31.1,0.66,15.16,4.147,33.539,24.811,8.11,7.61,8.17,93.04,81.97,0.795,2.78,0.2625,1.91,0.0897,1.68,0.2242,0.14,0.0155,,,1735.0,40.4,2.3,0.00,0.000,,,,,,,,,,,
11107,Winter,OCSD,02/08/2016,08:02,1905,1,16.0,32.5,0.85,15.16,4.147,33.539,24.811,8.11,7.60,8.17,92.88,82.11,0.788,2.72,0.2574,1.90,0.0890,1.69,0.2243,0.14,0.0150,,,1725.8,35.0,2.0,0.00,0.001,,,,,,,,,,,
11108,Winter,OCSD,02/08/2016,08:02,1905,1,17.0,33.6,0.85,15.16,4.147,33.539,24.812,8.11,7.56,8.18,92.37,82.15,0.787,2.67,0.2540,1.90,0.0891,1.72,0.2266,0.16,0.0158,,,1719.6,30.0,1.7,0.00,0.000,,,,,,,,,,,
11109,Winter,OCSD,02/08/2016,08:02,1905,1,18.0,34.8,0.86,15.16,4.147,33.539,24.812,8.11,7.47,8.18,91.28,82.12,0.788,2.58,0.2491,1.91,0.0891,1.71,0.2249,0.17,0.0159,,,1722.6,26.0,1.5,0.00,0.002,,,,,,,,,,,
11110,Winter,OCSD,02/08/2016,08:02,1905,1,19.0,36.0,0.86,15.16,4.147,33.541,24.814,8.11,7.39,8.18,90.30,82.11,0.788,2.40,0.2335,1.91,0.0903,1.72,0.2264,0.18,0.0150,,,1729.5,22.4,1.3,0.01,0.004,,,,,,,,,,,
11111,Winter,OCSD,02/08/2016,08:02,1905,1,20.0,37.2,0.80,15.15,4.147,33.544,24.818,8.10,7.35,8.18,89.83,82.23,0.783,2.22,0.2185,1.83,0.0868,1.73,0.2273,0.25,0.0171,,,1732.9,19.5,1.1,0.01,0.002,,,,,,,,,,,
11112,Winter,OCSD,02/08/2016,08:02,1905,1,21.0,38.5,0.74,15.14,4.146,33.546,24.820,8.10,7.32,8.18,89.38,82.69,0.760,2.09,0.2095,1.63,0.0776,1.73,0.2261,0.25,0.0166,,,1729.9,17.1,1.0,0.00,0.002,,,,,,,,,,,
11113,Winter,OCSD,02/08/2016,08:02,1905,1,22.0,40.0,0.68,15.14,4.146,33.546,24.822,8.09,7.33,8.18,89.52,83.68,0.713,2.00,0.2029,1.54,0.0743,1.76,0.2283,0.23,0.0160,,,1736.1,15.1,0.9,0.00,0.002,,,,,,,,,,,
11114,Winter,OCSD,02/08/2016,08:02,1905,1,23.0,41.3,0.78,15.14,4.146,33.549,24.824,8.09,7.31,8.18,89.27,84.18,0.689,1.90,0.1952,1.50,0.0730,1.78,0.2287,0.26,0.0169,,,1726.0,12.9,0.7,0.01,0.004,,,,,,,,,,,
11115,Winter,OCSD,02/08/2016,08:02,1905,1,24.0,42.7,0.71,15.13,4.146,33.552,24.828,8.09,7.24,8.18,88.44,84.50,0.674,1.77,0.1856,1.45,0.0709,1.82,0.2308,0.26,0.0164,,,1734.6,11.1,0.6,0.01,0.002,,,,,,,,,,,
11116,Winter,OCSD,02/08/2016,08:02,1905,1,25.0,44.2,0.67,15.12,4.145,33.552,24.830,8.09,7.14,8.18,87.18,84.79,0.660,1.61,0.1746,1.38,0.0687,1.88,0.2345,0.29,0.0172,,,1729.6,9.8,0.6,0.01,0.003,,,,,,,,,,,
11117,Winter,OCSD,02/08/2016,08:02,1905,1,26.0,45.5,0.89,15.11,4.144,33.553,24.833,8.08,7.12,8.18,86.88,85.10,0.645,1.36,0.1529,1.28,0.0647,1.90,0.2349,0.26,0.0162,,,1729.7,8.7,0.5,0.03,0.003,,,,,,,,,,,
11118,Winter,OCSD,02/08/2016,08:02,1905,1,27.0,46.6,0.90,15.08,4.141,33.550,24.836,8.08,7.12,8.19,86.82,85.34,0.634,1.19,0.1396,1.11,0.0570,1.88,0.2335,0.26,0.0169,,,1729.7,7.8,0.5,0.01,0.002,,,,,,,,,,,
11119,Winter,OCSD,02/08/2016,08:02,1905,1,28.0,47.8,0.86,15.07,4.140,33.548,24.838,8.08,7.10,8.19,86.57,85.62,0.621,1.07,0.1305,0.94,0.0511,1.91,0.2363,0.25,0.0161,,,1722.5,7.1,0.4,0.01,0.002,,,,,,,,,,,
11120,Winter,OCSD,02/08/2016,08:02,1905,1,29.0,48.9,0.85,15.06,4.139,33.548,24.840,8.08,7.07,8.19,86.19,85.91,0.608,1.03,0.1284,0.79,0.0435,1.87,0.2334,0.27,0.0171,,,1727.4,6.4,0.4,0.00,0.002,,,,,,,,,,,
11121,Winter,OCSD,02/08/2016,08:02,1905,1,30.0,50.2,0.72,15.06,4.139,33.549,24.842,8.08,7.05,8.19,85.95,86.22,0.593,1.00,0.1267,0.73,0.0422,1.85,0.2323,0.30,0.0165,,,1734.3,5.9,0.3,0.01,0.001,,,,,,,,,,,
11122,Winter,OCSD,02/08/2016,08:02,1905,1,31.0,51.6,0.78,15.05,4.138,33.548,24.843,8.07,7.00,8.19,85.40,86.56,0.577,0.94,0.1224,0.70,0.0407,1.90,0.2336,0.35,0.0181,,,1730.0,5.4,0.3,0.01,0.002,,,,,,,,,,,
11123,Winter,OCSD,02/08/2016,08:02,1905,1,32.0,52.9,0.75,15.04,4.137,33.547,24.845,8.07,7.04,8.19,85.79,86.67,0.572,0.86,0.1141,0.70,0.0415,1.91,0.2356,0.32,0.0172,,,1730.4,4.8,0.3,0.03,0.003,,,,,,,,,,,
11124,Winter,OCSD,02/08/2016,08:02,1905,1,33.0,54.2,0.78,15.01,4.134,33.543,24.848,8.07,7.10,8.20,86.49,86.75,0.569,0.86,0.1149,0.63,0.0375,1.91,0.2349,0.28,0.0162,,,1728.0,4.3,0.2,0.05,0.004,,,,,,,,,,,
11125,Winter,OCSD,02/08/2016,08:02,1905,1,34.0,55.5,0.74,14.96,4.128,33.534,24.852,8.07,7.10,8.21,86.36,86.83,0.565,0.90,0.1200,0.62,0.0372,1.91,0.2363,0.30,0.0170,,,1711.4,3.8,0.2,0.03,0.004,,,,,,,,,,,
11126,Winter,OCSD,02/08/2016,08:02,1905,1,35.0,57.0,0.67,14.93,4.125,33.531,24.856,8.07,7.08,8.21,86.10,86.95,0.559,0.87,0.1160,0.68,0.0411,1.90,0.2341,0.34,0.0178,,,1727.7,3.4,0.2,0.01,0.005,,,,,,,,,,,
11127,Winter,OCSD,02/08/2016,08:02,1905,1,36.0,58.4,0.77,14.92,4.124,33.533,24.861,8.07,7.04,8.22,85.62,87.06,0.554,0.81,0.1121,0.64,0.0384,1.96,0.2369,0.31,0.0171,,,1721.1,3.1,0.2,0.02,0.004,,,,,,,,,,,
11128,Winter,OCSD,02/08/2016,08:02,1905,1,37.0,59.7,0.70,14.90,4.122,33.534,24.865,8.07,6.99,8.22,84.98,86.97,0.559,0.75,0.1073,0.59,0.0369,2.00,0.2399,0.28,0.0161,,,1729.8,2.9,0.2,0.01,0.003,,,,,,,,,,,
11129,Winter,OCSD,02/08/2016,08:02,1905,1,38.0,61.0,0.92,14.89,4.122,33.536,24.868,8.06,6.96,8.22,84.63,87.07,0.554,0.70,0.1031,0.55,0.0349,2.04,0.2426,0.35,0.0173,,,1725.6,2.7,0.2,0.01,0.003,,,,,,,,,,,
11130,Winter,OCSD,02/08/2016,08:02,1905,1,39.0,62.1,0.97,14.88,4.121,33.537,24.871,8.06,6.95,8.22,84.46,87.24,0.546,0.66,0.1005,0.51,0.0328,2.03,0.2401,0.43,0.0186,,,1729.1,2.4,0.1,0.01,0.002,,,,,,,,,,,
11131,Winter,OCSD,02/08/2016,08:02,1905,1,40.0,63.3,0.73,14.87,4.120,33.537,24.873,8.06,6.92,8.22,84.14,87.33,0.542,0.62,0.0977,0.49,0.0326,2.07,0.2430,0.47,0.0193,,,1727.1,2.2,0.1,0.01,0.003,,,,,,,,,,,
11132,Winter,OCSD,02/08/2016,08:02,1905,1,41.0,64.6,0.79,14.86,4.119,33.536,24.876,8.06,6.92,8.23,84.08,87.40,0.539,0.58,0.0943,0.44,0.0307,2.13,0.2458,0.40,0.0181,,,1728.4,2.0,0.1,0.02,0.004,,,,,,,,,,,
11133,Winter,OCSD,02/08/2016,08:02,1905,1,42.0,65.9,0.77,14.84,4.118,33.536,24.880,8.06,6.89,8.23,83.61,87.42,0.538,0.55,0.0921,0.39,0.0286,2.13,0.2467,0.31,0.0165,,,1722.3,1.8,0.1,0.03,0.004,,,,,,,,,,,
11134,Winter,OCSD,02/08/2016,08:02,1905,1,43.0,67.4,0.63,14.81,4.114,33.533,24.884,8.06,6.86,8.23,83.22,87.46,0.536,0.51,0.0885,0.37,0.0278,2.12,0.2445,0.31,0.0169,,,1730.9,1.7,0.1,0.00,0.004,,,,,,,,,,,
11135,Winter,OCSD,02/08/2016,08:02,1905,1,44.0,68.9,0.72,14.81,4.115,33.538,24.888,8.05,6.90,8.23,83.71,87.51,0.533,0.47,0.0857,0.32,0.0260,2.15,0.2472,0.38,0.0176,,,1724.9,1.5,0.1,0.03,0.002,,,,,,,,,,,
11136,Winter,OCSD,02/08/2016,08:02,1905,1,45.0,70.4,0.64,14.78,4.112,33.533,24.890,8.05,6.89,8.24,83.54,87.55,0.532,0.47,0.0861,0.28,0.0239,2.16,0.2480,0.48,0.0192,,,1719.9,1.4,0.1,0.02,0.004,,,,,,,,,,,
11137,Winter,OCSD,02/08/2016,08:02,1905,1,46.0,71.8,0.81,14.76,4.110,33.533,24.894,8.05,6.87,8.24,83.29,87.56,0.531,0.47,0.0854,0.27,0.0240,2.16,0.2459,0.51,0.0188,,,1725.0,1.3,0.1,0.00,0.001,,,,,,,,,,,
11138,Winter,OCSD,02/08/2016,08:02,1905,1,47.0,73.0,0.84,14.76,4.110,33.534,24.895,8.05,6.80,8.24,82.45,87.57,0.531,0.46,0.0852,0.24,0.0223,2.20,0.2489,0.54,0.0196,,,1721.0,1.2,0.1,0.00,0.001,,,,,,,,,,,
11139,Winter,OCSD,02/08/2016,08:02,1905,1,48.0,74.3,0.77,14.76,4.110,33.535,24.896,8.05,6.75,8.24,81.85,87.66,0.527,0.43,0.0823,0.23,0.0223,2.22,0.2513,0.51,0.0194,,,1723.7,1.1,0.1,0.00,0.002,,,,,,,,,,,
11140,Winter,OCSD,02/08/2016,08:02,1905,1,49.0,75.5,0.83,14.76,4.111,33.539,24.898,8.05,6.75,8.24,81.80,87.66,0.527,0.41,0.0814,0.23,0.0222,2.20,0.2489,0.44,0.0181,,,1728.7,1.0,0.1,0.01,0.004,,,,,,,,,,,
11141,Winter,OCSD,02/08/2016,08:02,1905,1,50.0,76.7,0.87,14.75,4.110,33.539,24.902,8.04,6.67,8.24,80.84,87.68,0.526,0.40,0.0810,0.22,0.0218,2.20,0.2491,0.43,0.0178,,,1728.3,0.9,0.1,0.01,0.002,,,,,,,,,,,
11142,Winter,OCSD,02/08/2016,08:02,1905,1,51.0,77.9,0.83,14.74,4.108,33.539,24.904,8.04,6.57,8.25,79.67,87.66,0.527,0.40,0.0801,0.20,0.0209,2.20,0.2492,0.46,0.0188,,,1728.3,0.8,0.0,0.08,0.012,,,,,,,,,,,
11143,Winter,OCSD,02/08/2016,08:02,1905,1,52.0,79.1,0.79,14.66,4.101,33.534,24.916,8.04,6.54,8.26,79.18,87.64,0.528,0.39,0.0796,0.20,0.0209,2.22,0.2502,0.48,0.0186,,,1725.1,0.8,0.0,0.11,0.018,,,,,,,,,,,
11144,Winter,OCSD,02/08/2016,08:02,1905,1,53.0,80.5,0.66,14.55,4.089,33.524,24.934,8.03,6.56,8.28,79.23,87.61,0.529,0.39,0.0796,0.19,0.0209,2.24,0.2515,0.51,0.0193,,,1724.1,0.7,0.0,0.06,0.006,,,,,,,,,,,
11145,Winter,OCSD,02/08/2016,08:02,1905,1,54.0,82.1,0.61,14.49,4.083,33.517,24.940,8.03,6.56,8.29,79.07,87.66,0.527,0.43,0.0828,0.19,0.0201,2.24,0.2510,0.48,0.0186,,,1726.6,0.6,0.0,0.03,0.005,,,,,,,,,,,
11146,Winter,OCSD,02/08/2016,08:02,1905,1,55.0,83.8,0.62,14.46,4.080,33.515,24.945,8.03,6.48,8.29,78.12,87.69,0.525,0.51,0.0893,0.24,0.0224,2.30,0.2544,0.50,0.0187,,,1729.1,0.6,0.0,0.05,0.009,,,,,,,,,,,
11147,Winter,OCSD,02/08/2016,08:02,1905,1,56.0,85.2,0.81,14.41,4.075,33.514,24.954,8.02,6.41,8.30,77.10,87.71,0.524,0.59,0.0953,0.36,0.0274,2.32,0.2540,0.53,0.0200,,,1726.6,0.5,0.0,0.10,0.019,,,,,,,,,,,
11148,Winter,OCSD,02/08/2016,08:02,1905,1,57.0,86.4,0.87,14.31,4.066,33.511,24.973,8.02,6.32,8.32,75.89,87.57,0.531,0.62,0.0974,0.44,0.0312,2.34,0.2562,0.50,0.0180,,,1724.5,0.5,0.0,0.05,0.010,,,,,,,,,,,
11149,Winter,OCSD,02/08/2016,08:02,1905,1,58.0,87.6,0.86,14.26,4.060,33.509,24.983,8.02,6.20,8.33,74.38,87.14,0.551,0.63,0.0987,0.45,0.0308,2.35,0.2566,0.55,0.0196,,,1728.1,0.4,0.0,0.07,0.013,,,,,,,,,,,
11150,Winter,OCSD,02/08/2016,08:02,1905,1,59.0,88.7,0.92,14.19,4.054,33.507,24.996,8.01,6.09,8.34,72.93,86.83,0.565,0.59,0.0956,0.47,0.0319,2.40,0.2588,0.57,0.0197,,,1719.2,0.4,0.0,0.10,0.018,,,,,,,,,,,
11151,Winter,OCSD,02/08/2016,08:02,1905,1,60.0,89.9,0.81,14.09,4.044,33.504,25.014,8.00,5.98,8.36,71.48,86.60,0.576,0.51,0.0884,0.45,0.0313,2.45,0.2609,0.60,0.0197,,,1729.1,0.4,0.0,0.10,0.020,,,,,,,,,,,
11152,Winter,OCSD,02/08/2016,08:02,1905,1,61.0,91.1,0.75,13.99,4.035,33.504,25.034,7.99,5.86,8.37,69.90,86.25,0.592,0.44,0.0833,0.36,0.0267,2.55,0.2679,0.67,0.0207,,,1729.3,0.3,0.0,0.14,0.026,,,,,,,,,,,
11153,Winter,OCSD,02/08/2016,08:02,1905,1,62.0,92.6,0.68,13.85,4.021,33.498,25.060,7.98,5.77,8.40,68.68,86.03,0.602,0.38,0.0787,0.34,0.0277,2.54,0.2656,0.72,0.0217,,,1725.4,0.3,0.0,0.11,0.016,,,,,,,,,,,
11154,Winter,OCSD,02/08/2016,08:02,1905,1,63.0,94.0,0.73,13.74,4.010,33.490,25.076,7.97,5.67,8.42,67.33,85.80,0.613,0.35,0.0771,0.21,0.0206,2.54,0.2661,0.69,0.0210,,,1732.7,0.2,0.0,0.06,0.009,,,,,,,,,,,
11155,Winter,OCSD,02/08/2016,08:02,1905,1,64.0,95.4,0.70,13.68,4.004,33.487,25.085,7.96,5.55,8.43,65.84,85.72,0.616,0.31,0.0736,0.17,0.0196,2.50,0.2626,0.63,0.0201,,,1717.2,0.2,0.0,0.11,0.021,,,,,,,,,,,
11156,Winter,OCSD,02/08/2016,08:02,1905,1,65.0,97.0,0.60,13.57,3.993,33.482,25.106,7.95,5.48,8.45,64.88,85.91,0.607,0.28,0.0711,0.12,0.0176,2.55,0.2666,0.61,0.0196,,,1723.8,0.2,0.0,0.16,0.029,,,,,,,,,,,
11157,Winter,OCSD,02/08/2016,08:02,1905,1,66.0,98.6,0.71,13.41,3.978,33.480,25.135,7.94,5.41,8.48,63.83,86.39,0.585,0.27,0.0703,0.09,0.0166,2.58,0.2669,0.66,0.0209,,,1728.2,0.2,0.0,0.09,0.016,,,,,,,,,,,
11158,Winter,OCSD,02/08/2016,08:02,1905,1,67.0,99.8,0.92,13.32,3.970,33.478,25.151,7.94,5.36,8.49,63.15,86.79,0.567,0.26,0.0700,0.07,0.0159,2.62,0.2695,0.67,0.0205,,,1715.0,0.1,0.0,0.14,0.026,,,,,,,,,,,
11159,Winter,OCSD,02/08/2016,08:02,1905,1,68.0,100.9,0.85,13.18,3.956,33.474,25.177,7.93,5.34,8.52,62.66,87.05,0.555,0.23,0.0674,0.07,0.0159,2.68,0.2734,0.67,0.0205,,,1724.1,0.1,0.0,0.08,0.014,,,,,,,,,,,
11160,Winter,OCSD,02/08/2016,08:02,1905,1,69.0,102.1,0.94,13.10,3.948,33.471,25.191,7.92,5.31,8.53,62.24,86.92,0.561,0.22,0.0666,0.05,0.0151,2.67,0.2720,0.70,0.0210,,,1729.5,0.1,0.0,0.02,0.002,,,,,,,,,,,
11161,Winter,OCSD,02/08/2016,08:02,1905,1,70.0,103.2,0.87,13.08,3.947,33.471,25.193,7.92,5.28,8.53,61.86,86.74,0.569,0.21,0.0663,0.04,0.0147,2.67,0.2720,0.72,0.0210,,,1721.8,0.1,0.0,0.07,0.011,,,,,,,,,,,
11162,Winter,OCSD,02/08/2016,08:02,1905,1,71.0,104.5,0.72,13.01,3.939,33.466,25.204,7.92,5.25,8.55,61.35,86.56,0.577,0.19,0.0648,0.04,0.0147,2.66,0.2721,0.76,0.0218,,,1733.6,0.1,0.0,0.14,0.023,,,,,,,,,,,
11163,Winter,OCSD,02/08/2016,08:02,1905,1,72.0,105.8,0.77,12.87,3.925,33.459,25.227,7.91,5.22,8.57,60.92,86.70,0.571,0.17,0.0633,0.01,0.0132,2.66,0.2700,0.76,0.0219,,,1727.5,0.1,0.0,0.13,0.022,,,,,,,,,,,
11164,Winter,OCSD,02/08/2016,08:02,1905,1,73.0,107.4,0.53,12.74,3.913,33.455,25.249,7.91,5.20,8.60,60.51,86.71,0.570,0.16,0.0619,-0.01,0.0128,2.68,0.2728,0.69,0.0208,,,1734.7,0.0,0.0,0.15,0.026,,,,,,,,,,,
11165,Winter,OCSD,02/08/2016,08:02,1905,1,74.0,109.1,0.76,12.59,3.899,33.451,25.275,7.90,5.21,8.62,60.43,86.76,0.568,0.15,0.0622,-0.02,0.0120,2.63,0.2694,0.65,0.0199,,,1727.5,0.0,0.0,0.09,0.015,,,,,,,,,,,
11166,Winter,OCSD,02/08/2016,08:02,1905,1,75.0,110.5,0.70,12.50,3.890,33.448,25.290,7.90,5.20,8.64,60.19,86.93,0.560,0.14,0.0604,-0.05,0.0107,2.65,0.2716,0.69,0.0211,,,1725.1,0.0,0.0,0.03,0.009,,,,,,,,,,,
11167,Winter,OCSD,02/08/2016,08:02,1905,1,76.0,111.7,0.94,12.47,3.887,33.450,25.299,7.90,5.17,8.65,59.82,86.95,0.560,0.13,0.0600,-0.05,0.0107,2.57,0.2657,0.70,0.0210,,,1730.9,0.0,0.0,0.02,0.006,,,,,,,,,,,
11168,Winter,OCSD,02/08/2016,08:02,1905,1,77.0,113.0,0.73,12.45,3.886,33.454,25.305,7.89,5.06,8.65,58.45,87.22,0.547,0.13,0.0600,-0.04,0.0117,2.60,0.2690,0.70,0.0209,,,1718.9,0.0,0.0,0.02,0.008,,,,,,,,,,,
11169,Winter,OCSD,02/08/2016,08:02,1905,1,78.0,114.3,0.81,12.43,3.885,33.460,25.313,7.89,4.92,8.65,56.83,87.55,0.532,0.13,0.0595,-0.05,0.0112,2.65,0.2701,0.71,0.0209,,,1721.3,0.0,0.0,-0.05,0.011,,,,,,,,,,,
11170,Winter,OCSD,02/08/2016,08:02,1905,1,79.0,115.4,0.92,12.48,3.892,33.486,25.324,7.89,4.94,8.64,57.20,87.67,0.526,0.13,0.0598,-0.08,0.0096,2.74,0.2757,0.73,0.0209,,,1736.8,0.0,0.0,0.03,0.012,,,,,,,,,,,
11171,Winter,OCSD,02/08/2016,08:02,1905,1,80.0,116.7,0.71,12.45,3.890,33.494,25.336,7.88,4.95,8.65,57.21,87.24,0.546,0.12,0.0587,-0.09,0.0096,2.81,0.2809,0.80,0.0224,,,1728.3,0.0,0.0,0.12,0.022,,,,,,,,,,,
11172,Winter,OCSD,02/08/2016,08:02,1905,1,81.0,118.0,0.95,12.33,3.880,33.494,25.358,7.88,4.92,8.67,56.74,85.82,0.612,0.11,0.0586,-0.08,0.0098,2.68,0.2686,0.79,0.0228,,,1713.3,0.0,0.0,0.04,0.021,,,,,,,,,,,
11173,Winter,OCSD,02/08/2016,08:02,1905,1,82.0,119.4,0.59,12.29,3.877,33.510,25.379,7.87,4.88,8.68,56.20,85.76,0.615,0.11,0.0584,-0.08,0.0103,2.64,0.2706,0.67,0.0202,,,1732.8,0.0,0.0,0.03,0.015,,,,,,,,,,,
11174,Winter,OCSD,02/08/2016,08:02,1905,1,83.0,120.9,0.74,12.26,3.875,33.521,25.394,7.87,4.81,8.68,55.42,87.55,0.532,0.11,0.0581,-0.12,0.0076,2.63,0.2703,0.61,0.0196,,,1720.5,0.0,0.0,0.03,0.012,,,,,,,,,,,
11175,Winter,OCSD,02/08/2016,08:02,1905,1,84.0,122.4,0.63,12.23,3.873,33.529,25.406,7.87,4.75,8.69,54.68,88.35,0.495,0.10,0.0578,-0.09,0.0096,2.66,0.2719,0.66,0.0207,,,1731.8,0.0,0.0,0.05,0.020,,,,,,,,,,,
11176,Winter,OCSD,02/08/2016,08:02,1905,1,85.0,123.8,0.84,12.18,3.870,33.543,25.426,7.86,4.68,8.69,53.82,88.62,0.483,0.10,0.0579,-0.09,0.0095,2.68,0.2717,0.69,0.0214,,,1724.2,0.0,0.0,0.03,0.011,,,,,,,,,,,
11177,Winter,OCSD,02/08/2016,08:02,1905,1,86.0,125.2,0.68,12.15,3.868,33.550,25.437,7.86,4.65,8.70,53.39,88.75,0.477,0.09,0.0567,-0.09,0.0096,2.68,0.2732,0.63,0.0199,,,1724.2,0.0,0.0,0.05,0.019,,,,,,,,,,,
11178,Winter,OCSD,02/08/2016,08:02,1905,1,87.0,126.5,0.83,12.10,3.865,33.562,25.456,7.86,4.60,8.71,52.83,88.80,0.475,0.08,0.0562,-0.13,0.0074,2.67,0.2725,0.61,0.0196,,,1712.3,0.0,0.0,0.06,0.014,,,,,,,,,,,
11179,Winter,OCSD,02/08/2016,08:02,1905,1,88.0,127.6,0.95,12.04,3.860,33.565,25.470,7.85,4.57,8.72,52.39,88.80,0.475,0.08,0.0563,-0.14,0.0074,2.67,0.2709,0.65,0.0200,,,1710.9,0.0,0.0,0.09,0.019,,,,,,,,,,,
